ID,PubchemFP697,PubchemFP362,maxssssC,PubchemFP314,C1SP3,ASP-6,PubchemFP443,nN,piPC8,PubchemFP380,SpMin4_Bhe,GATS7v,PubchemFP824,PubchemFP549,AATS0v,PubchemFP680,SdsCH,AATSC4m,BCUTw-1l,VC-3,Class
2,0,1,0,0,0,0.0442,0,1,3.8408,0,0.355,0,0,1,409.7894,0,0,-3.7108,11.9986,0.7971,Negative
3,0,1,0,0,0,0.0625,0,1,3.8408,0,0.3553,0,0,1,342.2341,0,0,64.7199,11.9986,0.6047,Negative
4,0,1,0,0,2,0.0545,0,6,6.4994,0,1.4053,1.0658,0,1,260.9306,0,0,8.1986,11.9529,0.762,Negative
5,0,1,0,0,0,0.0594,0,1,3.1689,0,0.3603,0,0,1,308.4564,0,0,-32.4179,11.9986,0.4547,Negative
6,0,0,0,0,0,0.0591,0,2,0,0,0.6571,0,0,1,251.1017,0,0,-12.5152,11.999,0.2357,Negative
7,0,0,0,0,1,0.0663,0,1,0,0,0.713,0.755,0,1,254.7757,0,0,-8.492,11.9986,0.2357,Negative
9,0,1,0,0,0,0.0652,0,1,0,0,0.3597,0,0,1,308.4564,0,0,-40.2881,11.9986,0.4452,Negative
10,0,1,0,0,0,0.0767,0,1,0,0,0.3598,0,0,1,274.6788,0,0,-26.6506,11.9986,0.3068,Negative
14,0,0,0,0,0,0.0534,0,3,6.1546,0,0.7342,1.0107,0,1,251.9271,0,0,-9.8515,11.85,0.2546,Negative
16,0,1,0,0,0,0.067,0,1,0,0,0.3625,0,0,1,274.6788,0,0,-4.265,11.9986,0.3068,Negative
17,0,1,0,0,0,0.0605,0,1,3.1689,0,0.3603,0,0,1,308.4564,0,0,-32.4179,11.9986,0.4075,Negative
19,0,0,0,0,0,0.0752,0,1,0,0,0.3626,0,0,1,240.9011,0,0,-3.9425,11.85,0.1179,Negative
20,0,0,0,0,0,0.0665,0,2,3.8408,0,0.5472,0,0,1,251.1017,0,0,-2.3161,11.999,0.2041,Negative
21,0,1,0,0,0,0.0707,0,1,3.1689,0,0.3605,0,0,1,274.6788,0,0,-10.3071,11.9986,0.2657,Negative
22,0,0,0,0,0,0.0821,0,0,3.446,0,0.6136,1.6494,0,0,269.3206,0,4.4581,27.281,11.9988,0.0962,Negative
23,0,0,0,0,0,0.0752,0,0,0,0,0.6097,0,0,0,269.3206,0,0,-41.3093,11.9988,0.4305,Negative
26,0,0,0,0,0,0.0461,0,0,0,0,0.4791,0,0,0,563.4627,0,0,-0,11.9989,1.473,Negative
27,1,0,0,0,0,0.0385,0,0,7.1521,0,0.8293,0.9059,0,0,550.7403,0,0,-116.1889,11.9988,2.58,Negative
28,0,0,0,0,0,0.0419,0,0,6.3332,0,0.8293,0.8444,0,0,536.2034,1,0,12.4019,11.9988,2.557,Negative
29,0,0,0,0,0,0.0614,0,0,3.2189,0,1.0329,1.0798,0,0,273.9489,0,0,-172.905,11.9988,2.7775,Negative
30,0,0,0,0,0,0.0614,0,0,2.1972,0,0.4496,0,0,0,273.9489,0,0,-185.0642,11.9988,1.8516,Negative
33,1,0,0,0,0,0.0575,0,0,6.3058,0,0.7986,1.2891,0,0,306.2586,0,0,-60.8822,11.9988,0.8213,Negative
34,1,0,0,0,0,0.058,0,0,6.1725,0,0.7986,1.089,0,0,275.6984,0,0,-23.6075,11.9988,0.494,Positive
37,0,0,0,0,4,0.0871,1,0,2.8332,1,0.8759,1.0574,0,0,248.8064,0,3.3887,16.2878,11.9988,0.1179,Positive
44,0,0,0,0,2,0.1006,0,0,1.6094,0,1.0308,0.9454,0,0,195.7394,0,0,-4.4948,11.9988,0,Negative
45,1,0,0,0,0,0.0616,0,0,5.4329,0,0.7986,1.0989,0,0,235.149,0,0,0.3278,11.85,0.2357,Negative
46,1,0,0,0,8,0.0479,0,2,6.4851,0,1.4101,1.0712,0,1,211.0267,0,0,1.2908,11.9,1.0798,Negative
47,0,0,0,0,4,0.05,0,1,4.6335,0,0.8341,0.9599,0,1,207.4852,0,0,1.7473,11.9,0.422,Negative
